Airbnb Listing ID,price,latitude,longitude,Meters from chosen location,Location,cluster,centroids,price_currency,size,color,segment
33571400,2730.18994140625,52.36724090576172,4.859099864959717,2263.0,Airbnb listing,1,0,MX 2730.19,5.0,#024c6f,Mid-range
33575280,2608.85009765625,52.424671173095696,4.892300128936768,6512.0,Airbnb listing,1,0,MX 2608.85,5.0,#024c6f,Mid-range
33587988,2426.840087890625,52.39112091064453,4.905089855194092,2912.0,Airbnb listing,1,0,MX 2426.84,5.0,#024c6f,Mid-range
33603408,3903.159912109375,52.366069793701165,4.926690101623535,2329.0,Airbnb listing,0,0,MX 3903.16,5.0,#061b2c,Budget
33605768,4671.66015625,52.35464096069336,4.897930145263672,1330.0,Airbnb listing,0,0,MX 4671.66,5.0,#061b2c,Budget
33606668,5965.97021484375,52.347610473632805,5.01462984085083,8553.0,Airbnb listing,0,0,MX 5965.97,6.0,#061b2c,Budget
33610576,2244.820068359375,52.36661911010742,4.890689849853516,128.0,Airbnb listing,1,0,MX 2244.82,5.0,#024c6f,Mid-range
33633692,5035.68017578125,52.37667083740234,4.870890140533447,1873.0,Airbnb listing,0,0,MX 5035.68,5.0,#061b2c,Budget
33649320,1739.22998046875,52.371700286865234,4.853169918060304,2734.0,Airbnb listing,1,0,MX 1739.23,5.0,#024c6f,Mid-range
33650348,1415.6500244140625,52.37052917480469,4.853000164031982,2719.0,Airbnb listing,1,0,MX 1415.65,5.0,#024c6f,Mid-range
33658232,2426.840087890625,52.37303924560546,4.847400188446045,3150.0,Airbnb listing,1,0,MX 2426.84,5.0,#024c6f,Mid-range
33660152,6026.64013671875,52.38024902343751,4.882269859313965,1715.0,Airbnb listing,0,0,MX 6026.64,6.0,#061b2c,Budget
33677632,5480.60009765625,52.35655975341797,4.995699882507324,7095.0,Airbnb listing,0,0,MX 5480.6,6.0,#061b2c,Budget
33677864,3033.5400390625,52.365131378173835,4.887869834899902,325.0,Airbnb listing,1,0,MX 3033.54,5.0,#024c6f,Mid-range
33684136,1617.8900146484375,52.35306930541992,4.920440196990967,2394.0,Airbnb listing,1,0,MX 1617.89,5.0,#024c6f,Mid-range
33713936,3033.5400390625,52.38246154785156,4.830049991607666,4606.0,Airbnb listing,1,0,MX 3033.54,5.0,#024c6f,Mid-range
33727544,3539.139892578125,52.36568069458008,4.9290499687194815,2490.0,Airbnb listing,0,0,MX 3539.14,5.0,#061b2c,Budget
33730176,8959.0703125,52.34439849853516,4.857180118560791,3398.0,Airbnb listing,3,0,MX 8959.07,6.0,#3abdf3,Elite
33730236,8352.3603515625,52.3425407409668,4.858150005340576,3504.0,Airbnb listing,3,0,MX 8352.36,6.0,#3abdf3,Elite
33733808,1496.550048828125,52.35260009765625,5.0053300857543945,7816.0,Airbnb listing,1,0,MX 1496.55,5.0,#024c6f,Mid-range
33734408,1496.550048828125,52.35282897949219,5.005280017852783,7807.0,Airbnb listing,1,0,MX 1496.55,5.0,#024c6f,Mid-range
33734416,2709.969970703125,52.31729888916016,4.9553799629211435,6912.0,Airbnb listing,1,0,MX 2709.97,5.0,#024c6f,Mid-range
33767056,1516.77001953125,52.38302993774414,4.871409893035889,2359.0,Airbnb listing,1,0,MX 1516.77,5.0,#024c6f,Mid-range
33793632,4044.7299804687505,52.37530899047852,4.85683012008667,2622.0,Airbnb listing,0,0,MX 4044.73,5.0,#061b2c,Budget
33823200,1415.6500244140625,52.392459869384766,4.927599906921387,3781.0,Airbnb listing,1,0,MX 1415.65,5.0,#024c6f,Mid-range
33865628,1577.43994140625,52.362918853759766,4.886280059814453,546.0,Airbnb listing,1,0,MX 1577.44,5.0,#024c6f,Mid-range
33875784,2649.300048828125,52.41801071166992,4.895289897918701,5774.0,Airbnb listing,1,0,MX 2649.3,5.0,#024c6f,Mid-range
33877752,5177.25,52.40684509277344,4.932962894439696,5301.0,Airbnb listing,0,0,MX 5177.25,6.0,#061b2c,Budget
33889976,6067.08984375,52.35152816772461,4.848476886749268,3394.0,Airbnb listing,0,0,MX 6067.09,6.0,#061b2c,Budget
33904432,12113.9599609375,52.365589141845696,4.871840000152588,1396.0,Airbnb listing,3,0,MX 12113.96,6.0,#3abdf3,Elite
33926116,3741.3701171875,52.35900115966797,4.824140071868896,4701.0,Airbnb listing,0,0,MX 3741.37,5.0,#061b2c,Budget
33932364,3377.35009765625,52.38005065917969,4.846950054168701,3452.0,Airbnb listing,1,0,MX 3377.35,5.0,#024c6f,Mid-range
33937032,8251.240234375,52.37517166137695,4.90684986114502,1407.0,Airbnb listing,3,0,MX 8251.24,6.0,#3abdf3,Elite
33980768,4105.39990234375,52.36188888549805,4.8645501136779785,1947.0,Airbnb listing,0,0,MX 4105.4,5.0,#061b2c,Budget
